data_layer,数据获取方,来源编号,date,日均气温_℃,日最高气温_℃,日最低气温_℃,日最高体感温度_℃,日均体感温度_℃,日均相对湿度_pct,日均露点_℃,日均云量_pct,日均风速_kmh,日最大风速_kmh,日降水量_mm,全日降水小时数_h,日最低能见度_m,日均能见度_m,雾时数_h,轻雾时数_h,日均PM25_ugm3,日均PM10_ugm3,白天降水量_mm,白天降水小时数_h,白天均能见度_m,白天雾时数_h,海表温度_均值_℃,海表温度_最高_℃,最大浪高_m,source_label
L0,脚本抓取,L0-B1d,2015-01-21,-1.06,2.3,-4.5,-3.3,-6.35,50.8,-10.8,47.1,14.04,22.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-22,-2.38,2.1,-5.2,-2.4,-6.6,55.3,-10.32,0.0,6.55,12.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-23,-1.09,4.8,-4.4,0.1,-5.52,62.4,-7.77,5.4,9.45,12.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-24,-1.38,0.8,-2.7,-4.1,-6.07,48.6,-10.97,81.8,9.5,14.2,0.2,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-25,-1.29,3.1,-3.8,-1.0,-5.2,65.8,-7.08,15.1,6.4,9.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-26,-2.45,0.9,-6.1,-4.9,-7.5,53.2,-12.45,48.9,11.77,22.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-27,-4.95,-1.0,-8.3,-5.9,-9.91,24.8,-22.32,0.1,7.49,11.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-28,-5.71,-2.1,-7.9,-6.4,-10.39,38.4,-18.19,64.1,6.59,8.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-29,-2.17,2.4,-5.7,-2.4,-6.98,52.1,-11.04,57.1,10.33,19.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-30,-3.28,0.5,-7.9,-4.6,-8.15,27.9,-19.76,2.2,7.48,10.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-01-31,-4.14,1.1,-9.4,-4.0,-8.9,34.4,-17.99,0.0,7.25,10.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-01,-2.6,2.8,-7.8,-2.2,-7.05,38.7,-15.26,52.1,6.04,8.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-02,-1.34,3.8,-6.0,-0.7,-5.39,48.5,-11.34,66.7,5.07,9.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-03,-0.23,5.0,-3.9,1.0,-4.14,56.1,-8.59,40.0,5.35,7.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-04,-0.58,3.7,-3.9,-1.4,-5.35,42.2,-12.71,40.6,9.35,13.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-05,-0.93,3.8,-3.7,-1.7,-5.9,39.7,-13.34,0.0,10.42,13.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-06,0.74,7.5,-4.0,2.2,-3.83,51.4,-8.69,63.9,9.98,15.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-07,-2.26,-0.2,-6.7,-5.5,-8.03,31.8,-17.68,13.5,14.43,25.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-08,-5.41,-1.5,-9.0,-6.7,-10.84,18.3,-26.28,0.0,10.12,13.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-09,-2.22,3.8,-6.8,-2.1,-7.52,30.3,-17.67,0.0,11.08,15.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-10,-0.37,6.6,-4.7,2.9,-4.72,46.2,-11.19,10.2,7.36,11.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-11,-1.18,4.2,-4.7,0.5,-5.43,54.2,-9.93,0.5,7.35,10.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-12,-2.41,1.8,-5.0,-1.9,-6.91,47.0,-12.86,8.6,7.66,11.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-13,-0.75,5.4,-5.4,0.1,-5.14,63.9,-7.13,7.8,9.79,16.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-14,2.1,9.4,-2.8,5.6,-1.97,62.3,-4.96,0.0,9.16,13.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-15,1.95,6.2,-0.9,1.9,-2.63,52.8,-6.86,61.8,11.25,15.6,1.4,3,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-16,2.87,8.8,-1.6,4.2,-0.89,67.0,-3.58,41.0,8.37,13.5,4.1,5,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-17,1.37,7.6,-3.2,3.3,-2.83,53.9,-7.51,11.6,8.35,15.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-18,0.69,5.4,-3.0,1.4,-3.93,37.5,-13.66,0.0,8.7,16.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-19,0.12,4.2,-3.7,-0.4,-3.82,56.0,-7.95,60.5,6.13,12.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-20,0.12,2.4,-1.9,-0.5,-3.12,77.1,-3.55,99.6,4.52,6.8,4.2,15,,,,,,,2.5,10,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-21,1.02,3.9,-1.2,-0.4,-2.9,83.7,-1.9,76.1,11.11,18.3,2.9,5,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-22,-1.32,3.8,-5.5,-1.9,-7.28,29.4,-17.14,0.0,16.28,23.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-23,-1.48,2.3,-5.5,-1.7,-5.85,46.7,-12.05,0.2,7.74,11.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-24,0.45,5.1,-3.1,1.4,-3.18,66.4,-5.44,26.2,6.35,12.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-25,0.89,5.6,-3.4,1.9,-3.29,53.5,-8.85,44.4,7.92,13.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-26,-1.06,3.3,-5.5,-2.3,-6.25,31.3,-16.61,9.8,11.1,22.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-27,-2.45,1.1,-5.1,-2.8,-7.17,37.1,-15.78,48.9,8.26,13.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-02-28,-0.79,2.0,-3.3,-3.3,-5.45,62.8,-7.08,82.0,11.66,20.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-01,1.88,8.2,-3.5,2.0,-3.19,49.0,-9.0,0.9,13.9,23.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-02,2.85,8.7,-2.4,5.1,-1.22,51.8,-6.24,34.4,9.06,17.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-03,0.6,3.4,-4.1,-3.3,-5.17,29.4,-16.18,47.3,15.32,23.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-04,-1.48,3.3,-5.4,-0.7,-6.29,29.4,-18.05,4.0,8.78,11.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-05,-0.48,5.2,-4.9,0.2,-5.24,52.4,-9.55,56.6,11.44,19.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-06,1.26,7.0,-3.4,2.5,-3.09,64.0,-5.14,0.0,11.6,19.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-07,3.15,9.8,-1.3,7.3,-0.4,70.5,-2.05,4.2,8.83,12.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-08,1.3,5.7,-2.8,0.7,-2.89,68.5,-4.45,79.7,10.36,20.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-09,-2.55,0.2,-4.9,-5.3,-8.1,22.9,-22.64,0.7,12.98,21.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-10,-0.2,5.6,-6.4,0.1,-5.34,25.1,-18.38,0.0,11.0,16.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-11,0.78,5.6,-2.6,1.9,-3.91,40.8,-12.43,0.0,10.5,14.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-12,0.6,6.4,-3.8,3.2,-3.23,60.9,-6.83,1.0,7.25,10.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-13,0.67,6.2,-4.2,3.3,-3.24,55.5,-8.24,0.0,7.04,12.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-14,2.07,6.1,-2.4,1.1,-2.07,56.2,-6.04,51.4,8.78,18.4,0.7,2,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-15,5.23,13.5,-3.1,9.8,1.23,53.4,-4.95,11.8,9.88,15.1,0.1,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-16,6.64,12.6,2.0,10.2,3.74,71.7,1.53,74.5,8.16,12.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-17,6.35,10.7,1.6,5.9,1.75,50.5,-4.64,51.6,14.55,23.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-18,5.96,13.1,0.3,10.1,2.29,45.2,-5.72,77.8,6.66,9.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-19,6.16,12.9,0.9,9.9,2.58,54.5,-3.02,74.2,7.77,12.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-20,6.43,13.2,0.4,10.5,2.96,52.7,-3.52,24.1,7.61,11.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-21,8.8,16.5,0.1,11.5,4.15,35.5,-8.98,2.2,12.02,19.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-22,4.39,8.4,0.0,5.6,-0.73,32.8,-11.76,27.1,13.92,23.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-23,3.75,10.3,-1.7,7.5,-0.14,49.8,-6.66,0.0,8.38,14.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-24,3.4,8.5,-2.4,5.2,-0.4,48.0,-7.11,0.0,7.3,12.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-25,7.01,14.6,-1.3,11.1,3.61,51.7,-2.68,0.0,8.2,14.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-26,9.68,17.6,1.1,13.0,5.65,50.2,-1.37,0.0,13.26,22.6,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-27,9.64,16.6,2.4,12.2,5.52,50.3,-0.92,37.3,14.25,23.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-28,11.22,18.4,6.3,17.0,8.75,60.0,3.17,43.2,7.75,12.2,0.4,1,,,,,,,0.4,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-29,8.97,14.1,4.6,12.0,6.77,71.0,3.75,44.6,6.51,15.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-30,10.28,16.1,5.5,13.6,8.01,69.5,4.64,89.5,7.79,16.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-03-31,7.93,9.5,6.4,6.1,4.21,70.9,2.47,85.2,14.38,24.4,3.4,5,,,,,,,3.4,5,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-01,8.19,12.5,3.6,8.2,3.6,29.2,-9.21,95.9,10.74,15.9,0.8,2,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-02,5.4,6.6,3.6,3.0,1.6,82.1,2.5,70.5,14.61,18.7,19.8,13,,,,,,,8.1,6,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-03,7.09,12.5,2.9,10.2,3.85,68.4,1.4,21.8,11.01,16.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-04,7.07,11.7,3.0,10.3,4.56,73.2,2.38,72.6,7.23,10.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-05,9.82,17.6,3.3,15.4,7.1,63.3,2.0,69.7,7.93,24.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-06,4.5,8.2,0.7,4.6,-0.66,30.7,-12.2,71.8,13.72,24.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-07,3.16,8.4,-2.1,5.6,-0.62,55.6,-5.97,5.5,8.71,18.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-08,5.95,12.1,-0.6,7.3,1.98,63.3,-1.04,36.2,12.84,22.8,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-09,8.2,14.7,2.0,12.0,5.19,68.4,2.35,9.1,10.78,20.2,0.4,1,,,,,,,0.4,1,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-10,8.88,14.2,4.0,13.4,6.95,77.5,4.89,36.7,6.73,12.8,3.1,3,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-11,7.82,11.1,4.8,8.7,5.55,86.5,5.64,75.0,8.35,11.3,9.9,12,,,,,,,6.7,5,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-12,4.73,6.9,2.6,4.0,0.15,90.5,3.29,99.5,20.9,28.6,24.3,17,,,,,,,19.3,11,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-13,8.18,14.2,3.6,11.8,4.19,58.7,0.15,33.2,15.14,23.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-14,10.22,17.8,1.8,16.5,8.08,68.3,4.07,1.5,7.78,10.2,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-15,12.96,18.3,6.5,17.3,10.88,69.0,7.19,60.3,11.47,25.8,0.7,1,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-16,12.02,16.6,5.3,11.2,7.52,41.0,-2.6,17.6,16.53,25.9,0.5,2,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-17,12.99,19.8,6.2,16.4,9.94,49.9,2.5,58.6,11.55,21.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-18,12.39,14.7,10.1,13.3,11.0,70.5,7.07,99.1,4.52,8.4,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-19,12.4,15.3,7.3,11.6,8.94,47.4,0.12,99.1,10.11,21.8,0.8,2,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-20,11.15,18.6,2.1,14.6,7.65,47.5,-0.99,20.7,11.01,18.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-21,12.98,20.8,7.2,19.9,10.94,65.5,6.09,24.0,9.58,16.3,2.6,3,,,,,,,2.6,3,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-22,13.82,21.2,5.6,17.7,10.89,55.7,3.59,4.9,12.24,20.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-23,14.66,20.2,9.8,18.8,12.09,53.2,4.79,33.4,10.01,14.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-24,15.73,22.6,8.3,18.5,12.56,43.8,2.44,0.0,12.22,21.3,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-25,18.14,26.3,8.6,23.5,15.6,47.4,6.16,1.1,13.3,22.5,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-26,19.97,26.7,12.8,25.3,18.34,54.2,10.04,0.0,13.62,21.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-27,17.82,21.6,14.1,20.4,16.24,59.0,9.52,63.0,11.61,19.9,3.1,2,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-28,15.07,18.5,11.8,18.2,14.66,79.8,11.42,45.6,7.08,11.5,1.8,5,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-29,16.69,21.4,11.8,22.0,16.8,78.4,12.68,1.9,7.3,15.1,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-04-30,16.96,22.2,12.6,21.9,17.01,79.0,13.01,6.6,8.12,15.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-01,17.83,23.1,14.0,23.7,17.86,70.6,12.24,35.3,6.72,16.7,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-02,14.59,17.6,11.0,17.2,14.47,87.5,12.5,68.5,6.42,10.6,13.6,10,,,,,,,9.7,6,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-03,15.56,21.6,9.6,20.9,14.04,64.2,7.12,63.7,8.2,12.0,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-04,15.65,20.1,11.2,16.2,11.25,26.3,-4.0,3.8,14.89,19.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-05,17.22,23.3,11.7,21.6,14.88,45.4,4.91,45.0,9.82,12.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-06,14.69,18.1,10.3,14.9,11.5,39.6,-0.3,84.7,9.92,16.9,0.0,0,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-07,15.65,21.8,9.8,19.3,13.3,47.0,3.52,72.5,8.5,15.0,1.7,4,,,,,,,0.0,0,,,,,,friend_archive_open_meteo_era5
L0,脚本抓取,L0-B1d,2015-05-08,12.39,14.6,9.7,13.0,9.88,70.8,7.18,50.9,12.52,21.2,5.3,7,,,,,,,4.7,5,,,,,,friend_archive_open_meteo_era5
