date,keyword,search_index,pc_index,mobile_index,is_weekend,source_label
2016-03-04,北戴河,1735,751,984,0,friend_archive_baidu_index
2016-03-05,北戴河,1496,502,994,1,friend_archive_baidu_index
2016-03-06,北戴河,1563,549,1014,1,friend_archive_baidu_index
2016-03-07,北戴河,1830,848,982,0,friend_archive_baidu_index
2016-03-08,北戴河,1666,671,995,0,friend_archive_baidu_index
2016-03-09,北戴河,1722,729,993,0,friend_archive_baidu_index
2016-03-10,北戴河,1703,726,977,0,friend_archive_baidu_index
2016-03-11,北戴河,1856,860,996,0,friend_archive_baidu_index
2016-03-12,北戴河,1542,554,988,1,friend_archive_baidu_index
2016-03-13,北戴河,1684,589,1095,1,friend_archive_baidu_index
2016-03-14,北戴河,1847,853,994,0,friend_archive_baidu_index
2016-03-15,北戴河,1846,855,991,0,friend_archive_baidu_index
2016-03-16,北戴河,1819,842,977,0,friend_archive_baidu_index
2016-03-17,北戴河,1849,859,990,0,friend_archive_baidu_index
2016-03-18,北戴河,1829,844,985,0,friend_archive_baidu_index
2016-03-19,北戴河,1810,673,1137,1,friend_archive_baidu_index
2016-03-20,北戴河,1849,651,1198,1,friend_archive_baidu_index
2016-03-21,北戴河,2049,864,1185,0,friend_archive_baidu_index
2016-03-22,北戴河,2091,864,1227,0,friend_archive_baidu_index
2016-03-23,北戴河,2067,869,1198,0,friend_archive_baidu_index
2016-03-24,北戴河,2104,869,1235,0,friend_archive_baidu_index
2016-03-25,北戴河,2066,870,1196,0,friend_archive_baidu_index
2016-03-26,北戴河,1814,622,1192,1,friend_archive_baidu_index
2016-03-27,北戴河,2267,843,1424,1,friend_archive_baidu_index
2016-03-28,北戴河,2418,921,1497,0,friend_archive_baidu_index
2016-03-29,北戴河,2501,933,1568,0,friend_archive_baidu_index
2016-03-30,北戴河,2617,975,1642,0,friend_archive_baidu_index
2016-03-31,北戴河,2914,1007,1907,0,friend_archive_baidu_index
2016-04-01,北戴河,3385,1069,2316,0,friend_archive_baidu_index
2016-04-02,北戴河,3545,873,2672,1,friend_archive_baidu_index
2016-04-03,北戴河,3114,732,2382,1,friend_archive_baidu_index
2016-04-04,北戴河,2875,760,2115,0,friend_archive_baidu_index
2016-04-05,北戴河,2868,928,1940,0,friend_archive_baidu_index
2016-04-06,北戴河,2726,895,1831,0,friend_archive_baidu_index
2016-04-07,北戴河,2643,919,1724,0,friend_archive_baidu_index
2016-04-08,北戴河,2719,906,1813,0,friend_archive_baidu_index
2016-04-09,北戴河,2577,800,1777,1,friend_archive_baidu_index
2016-04-10,北戴河,2625,774,1851,1,friend_archive_baidu_index
2016-04-11,北戴河,2817,936,1881,0,friend_archive_baidu_index
2016-04-12,北戴河,2832,913,1919,0,friend_archive_baidu_index
2016-04-13,北戴河,2769,896,1873,0,friend_archive_baidu_index
2016-04-14,北戴河,2488,885,1603,0,friend_archive_baidu_index
2016-04-15,北戴河,2621,897,1724,0,friend_archive_baidu_index
2016-04-16,北戴河,2182,771,1411,1,friend_archive_baidu_index
2016-04-17,北戴河,2055,757,1298,1,friend_archive_baidu_index
2016-04-18,北戴河,2846,940,1906,0,friend_archive_baidu_index
2016-04-19,北戴河,2404,929,1475,0,friend_archive_baidu_index
2016-04-20,北戴河,2737,944,1793,0,friend_archive_baidu_index
2016-04-21,北戴河,2742,955,1787,0,friend_archive_baidu_index
2016-04-22,北戴河,3093,971,2122,0,friend_archive_baidu_index
2016-04-23,北戴河,3605,873,2732,1,friend_archive_baidu_index
2016-04-24,北戴河,3888,881,3007,1,friend_archive_baidu_index
2016-04-25,北戴河,4419,1230,3189,0,friend_archive_baidu_index
2016-04-26,北戴河,4384,1260,3124,0,friend_archive_baidu_index
2016-04-27,北戴河,4625,1259,3366,0,friend_archive_baidu_index
2016-04-28,北戴河,5280,1534,3746,0,friend_archive_baidu_index
2016-04-29,北戴河,6519,1534,4985,0,friend_archive_baidu_index
2016-04-30,北戴河,7642,1001,6641,1,friend_archive_baidu_index
2016-05-01,北戴河,7905,896,7009,1,friend_archive_baidu_index
2016-05-02,北戴河,4838,870,3968,0,friend_archive_baidu_index
2016-05-03,北戴河,3959,992,2967,0,friend_archive_baidu_index
2016-05-04,北戴河,3777,952,2825,0,friend_archive_baidu_index
2016-05-05,北戴河,3570,957,2613,0,friend_archive_baidu_index
2016-05-06,北戴河,3457,938,2519,0,friend_archive_baidu_index
2016-05-07,北戴河,3355,847,2508,1,friend_archive_baidu_index
2016-05-08,北戴河,3330,820,2510,1,friend_archive_baidu_index
2016-05-09,北戴河,3502,941,2561,0,friend_archive_baidu_index
2016-05-10,北戴河,3673,965,2708,0,friend_archive_baidu_index
2016-05-11,北戴河,3465,947,2518,0,friend_archive_baidu_index
2016-05-12,北戴河,3665,946,2719,0,friend_archive_baidu_index
2016-05-13,北戴河,3731,965,2766,0,friend_archive_baidu_index
2016-05-14,北戴河,3526,788,2738,1,friend_archive_baidu_index
2016-05-15,北戴河,3559,823,2736,1,friend_archive_baidu_index
2016-05-16,北戴河,3970,967,3003,0,friend_archive_baidu_index
2016-05-17,北戴河,4046,999,3047,0,friend_archive_baidu_index
2016-05-18,北戴河,3960,1004,2956,0,friend_archive_baidu_index
2016-05-19,北戴河,4237,991,3246,0,friend_archive_baidu_index
2016-05-20,北戴河,4162,990,3172,0,friend_archive_baidu_index
2016-05-21,北戴河,4309,869,3440,1,friend_archive_baidu_index
2016-05-22,北戴河,4303,873,3430,1,friend_archive_baidu_index
2016-05-23,北戴河,4535,1172,3363,0,friend_archive_baidu_index
2016-05-24,北戴河,4454,1082,3372,0,friend_archive_baidu_index
2016-05-25,北戴河,4513,1041,3472,0,friend_archive_baidu_index
2016-05-26,北戴河,4798,1238,3560,0,friend_archive_baidu_index
2016-05-27,北戴河,5055,1247,3808,0,friend_archive_baidu_index
2016-05-28,北戴河,4699,913,3786,1,friend_archive_baidu_index
2016-05-29,北戴河,4552,890,3662,1,friend_archive_baidu_index
2016-05-30,北戴河,5235,1400,3835,0,friend_archive_baidu_index
2016-05-31,北戴河,5061,1407,3654,0,friend_archive_baidu_index
2016-06-01,北戴河,5067,1394,3673,0,friend_archive_baidu_index
2016-06-02,北戴河,5797,1576,4221,0,friend_archive_baidu_index
2016-06-03,北戴河,5793,1564,4229,0,friend_archive_baidu_index
2016-06-04,北戴河,5617,990,4627,1,friend_archive_baidu_index
2016-06-05,北戴河,5884,1057,4827,1,friend_archive_baidu_index
2016-06-06,北戴河,7245,2159,5086,0,friend_archive_baidu_index
2016-06-07,北戴河,7637,2253,5384,0,friend_archive_baidu_index
2016-06-08,北戴河,9020,2601,6419,0,friend_archive_baidu_index
2016-06-09,北戴河,8363,1174,7189,0,friend_archive_baidu_index
2016-06-10,北戴河,7295,983,6312,0,friend_archive_baidu_index
2016-06-11,北戴河,5912,955,4957,1,friend_archive_baidu_index
2016-06-12,北戴河,6415,1543,4872,1,friend_archive_baidu_index
2016-06-13,北戴河,5875,1325,4550,0,friend_archive_baidu_index
2016-06-14,北戴河,5666,1261,4405,0,friend_archive_baidu_index
2016-06-15,北戴河,6058,1382,4676,0,friend_archive_baidu_index
2016-06-16,北戴河,6008,1406,4602,0,friend_archive_baidu_index
2016-06-17,北戴河,6271,1467,4804,0,friend_archive_baidu_index
2016-06-18,北戴河,5910,965,4945,1,friend_archive_baidu_index
2016-06-19,北戴河,5933,950,4983,1,friend_archive_baidu_index
2016-06-20,北戴河,6948,1685,5263,0,friend_archive_baidu_index
2016-06-21,北戴河,7317,1779,5538,0,friend_archive_baidu_index
2016-06-22,北戴河,7507,1797,5710,0,friend_archive_baidu_index
2016-06-23,北戴河,7435,1850,5585,0,friend_archive_baidu_index
2016-06-24,北戴河,7796,1876,5920,0,friend_archive_baidu_index
2016-06-25,北戴河,7475,1050,6425,1,friend_archive_baidu_index
2016-06-26,北戴河,7330,1067,6263,1,friend_archive_baidu_index
2016-06-27,北戴河,8440,1980,6460,0,friend_archive_baidu_index
2016-06-28,北戴河,8077,1814,6263,0,friend_archive_baidu_index
2016-06-29,北戴河,8220,1906,6314,0,friend_archive_baidu_index
2016-06-30,北戴河,8914,2069,6845,0,friend_archive_baidu_index
2016-07-01,北戴河,9907,2284,7623,0,friend_archive_baidu_index
2016-07-02,北戴河,9503,1419,8084,1,friend_archive_baidu_index
2016-07-03,北戴河,9482,1375,8107,1,friend_archive_baidu_index
2016-07-04,北戴河,10816,2513,8303,0,friend_archive_baidu_index
2016-07-05,北戴河,11068,2395,8673,0,friend_archive_baidu_index
2016-07-06,北戴河,11014,2436,8578,0,friend_archive_baidu_index
2016-07-07,北戴河,11719,2481,9238,0,friend_archive_baidu_index
2016-07-08,北戴河,12186,2704,9482,0,friend_archive_baidu_index
2016-07-09,北戴河,11074,1700,9374,1,friend_archive_baidu_index
2016-07-10,北戴河,10808,1577,9231,1,friend_archive_baidu_index
2016-07-11,北戴河,12095,2753,9342,0,friend_archive_baidu_index
2016-07-12,北戴河,11340,2517,8823,0,friend_archive_baidu_index
2016-07-13,北戴河,11895,2493,9402,0,friend_archive_baidu_index
2016-07-14,北戴河,12299,2597,9702,0,friend_archive_baidu_index
2016-07-15,北戴河,12744,2569,10175,0,friend_archive_baidu_index
2016-07-16,北戴河,11947,1628,10319,1,friend_archive_baidu_index
2016-07-17,北戴河,12034,1521,10513,1,friend_archive_baidu_index
2016-07-18,北戴河,13302,2754,10548,0,friend_archive_baidu_index
2016-07-19,北戴河,12644,2704,9940,0,friend_archive_baidu_index
2016-07-20,北戴河,11526,2372,9154,0,friend_archive_baidu_index
2016-07-21,北戴河,11421,2462,8959,0,friend_archive_baidu_index
2016-07-22,北戴河,11963,2419,9544,0,friend_archive_baidu_index
2016-07-23,北戴河,11520,1652,9868,1,friend_archive_baidu_index
2016-07-24,北戴河,11652,1543,10109,1,friend_archive_baidu_index
2016-07-25,北戴河,12956,2648,10308,0,friend_archive_baidu_index
2016-07-26,北戴河,13768,2815,10953,0,friend_archive_baidu_index
2016-07-27,北戴河,13636,2823,10813,0,friend_archive_baidu_index
2016-07-28,北戴河,13662,2875,10787,0,friend_archive_baidu_index
2016-07-29,北戴河,14530,3000,11530,0,friend_archive_baidu_index
2016-07-30,北戴河,13157,1813,11344,1,friend_archive_baidu_index
2016-07-31,北戴河,12791,1687,11104,1,friend_archive_baidu_index
2016-08-01,北戴河,14864,2924,11940,0,friend_archive_baidu_index
2016-08-02,北戴河,15158,2993,12165,0,friend_archive_baidu_index
2016-08-03,北戴河,16246,3347,12899,0,friend_archive_baidu_index
2016-08-04,北戴河,15001,2999,12002,0,friend_archive_baidu_index
2016-08-05,北戴河,15645,3286,12359,0,friend_archive_baidu_index
2016-08-06,北戴河,13168,1877,11291,1,friend_archive_baidu_index
2016-08-07,北戴河,12461,1680,10781,1,friend_archive_baidu_index
2016-08-08,北戴河,12703,2810,9893,0,friend_archive_baidu_index
2016-08-09,北戴河,12105,2808,9297,0,friend_archive_baidu_index
2016-08-10,北戴河,12709,2651,10058,0,friend_archive_baidu_index
2016-08-11,北戴河,13139,2837,10302,0,friend_archive_baidu_index
2016-08-12,北戴河,12515,2726,9789,0,friend_archive_baidu_index
2016-08-13,北戴河,11048,1474,9574,1,friend_archive_baidu_index
2016-08-14,北戴河,9761,1266,8495,1,friend_archive_baidu_index
2016-08-15,北戴河,10306,2253,8053,0,friend_archive_baidu_index
2016-08-16,北戴河,9728,2058,7670,0,friend_archive_baidu_index
2016-08-17,北戴河,8813,1921,6892,0,friend_archive_baidu_index
2016-08-18,北戴河,9238,2154,7084,0,friend_archive_baidu_index
2016-08-19,北戴河,8933,1924,7009,0,friend_archive_baidu_index
2016-08-20,北戴河,6861,1110,5751,1,friend_archive_baidu_index
2016-08-21,北戴河,6248,1045,5203,1,friend_archive_baidu_index
2016-08-22,北戴河,7725,2160,5565,0,friend_archive_baidu_index
2016-08-23,北戴河,6340,1773,4567,0,friend_archive_baidu_index
2016-08-24,北戴河,5855,1567,4288,0,friend_archive_baidu_index
2016-08-25,北戴河,5396,1582,3814,0,friend_archive_baidu_index
2016-08-26,北戴河,5120,1559,3561,0,friend_archive_baidu_index
2016-08-27,北戴河,4276,955,3321,1,friend_archive_baidu_index
2016-08-28,北戴河,3905,923,2982,1,friend_archive_baidu_index
2016-08-29,北戴河,4277,1332,2945,0,friend_archive_baidu_index
2016-08-30,北戴河,3681,1203,2478,0,friend_archive_baidu_index
2016-08-31,北戴河,3494,1160,2334,0,friend_archive_baidu_index
2016-09-01,北戴河,3338,1066,2272,0,friend_archive_baidu_index
2016-09-02,北戴河,3440,1115,2325,0,friend_archive_baidu_index
2016-09-03,北戴河,3377,889,2488,1,friend_archive_baidu_index
2016-09-04,北戴河,3264,861,2403,1,friend_archive_baidu_index
2016-09-05,北戴河,3528,1091,2437,0,friend_archive_baidu_index
2016-09-06,北戴河,3227,990,2237,0,friend_archive_baidu_index
2016-09-07,北戴河,3091,969,2122,0,friend_archive_baidu_index
2016-09-08,北戴河,2946,960,1986,0,friend_archive_baidu_index
2016-09-09,北戴河,2968,986,1982,0,friend_archive_baidu_index
2016-09-10,北戴河,2888,857,2031,1,friend_archive_baidu_index
2016-09-11,北戴河,2997,875,2122,1,friend_archive_baidu_index
2016-09-12,北戴河,3013,990,2023,0,friend_archive_baidu_index
2016-09-13,北戴河,3054,1099,1955,0,friend_archive_baidu_index
2016-09-14,北戴河,3419,1177,2242,0,friend_archive_baidu_index
2016-09-15,北戴河,3394,852,2542,0,friend_archive_baidu_index
2016-09-16,北戴河,3346,842,2504,0,friend_archive_baidu_index
2016-09-17,北戴河,2945,859,2086,1,friend_archive_baidu_index
2016-09-18,北戴河,2817,962,1855,1,friend_archive_baidu_index
2016-09-19,北戴河,2712,937,1775,0,friend_archive_baidu_index
2016-09-20,北戴河,2695,933,1762,0,friend_archive_baidu_index
2016-09-21,北戴河,2784,955,1829,0,friend_archive_baidu_index
2016-09-22,北戴河,3065,984,2081,0,friend_archive_baidu_index
2016-09-23,北戴河,2994,970,2024,0,friend_archive_baidu_index
2016-09-24,北戴河,3295,900,2395,1,friend_archive_baidu_index
2016-09-25,北戴河,3562,916,2646,1,friend_archive_baidu_index
2016-09-26,北戴河,3342,1102,2240,0,friend_archive_baidu_index
2016-09-27,北戴河,3182,1077,2105,0,friend_archive_baidu_index
2016-09-28,北戴河,3023,992,2031,0,friend_archive_baidu_index
2016-09-29,北戴河,3343,1039,2304,0,friend_archive_baidu_index
2016-09-30,北戴河,4067,1170,2897,0,friend_archive_baidu_index
2016-10-01,北戴河,4651,929,3722,1,friend_archive_baidu_index
2016-10-02,北戴河,4954,904,4050,1,friend_archive_baidu_index
2016-10-03,北戴河,4839,903,3936,0,friend_archive_baidu_index
2016-10-04,北戴河,4175,853,3322,0,friend_archive_baidu_index
2016-10-05,北戴河,3260,718,2542,0,friend_archive_baidu_index
2016-10-06,北戴河,2710,791,1919,0,friend_archive_baidu_index
2016-10-07,北戴河,2314,721,1593,0,friend_archive_baidu_index
2016-10-08,北戴河,2106,849,1257,1,friend_archive_baidu_index
2016-10-09,北戴河,1955,768,1187,1,friend_archive_baidu_index
2016-10-10,北戴河,1840,780,1060,0,friend_archive_baidu_index
2016-10-11,北戴河,1801,741,1060,0,friend_archive_baidu_index
2016-10-12,北戴河,1732,727,1005,0,friend_archive_baidu_index
2016-10-13,北戴河,1898,816,1082,0,friend_archive_baidu_index
2016-10-14,北戴河,1944,800,1144,0,friend_archive_baidu_index
2016-10-15,北戴河,1911,613,1298,1,friend_archive_baidu_index
2016-10-16,北戴河,1869,552,1317,1,friend_archive_baidu_index
2016-10-17,北戴河,2156,854,1302,0,friend_archive_baidu_index
2016-10-18,北戴河,2064,799,1265,0,friend_archive_baidu_index
2016-10-19,北戴河,1967,760,1207,0,friend_archive_baidu_index
2016-10-20,北戴河,2132,810,1322,0,friend_archive_baidu_index
2016-10-21,北戴河,1886,696,1190,0,friend_archive_baidu_index
2016-10-22,北戴河,1622,540,1082,1,friend_archive_baidu_index
2016-10-23,北戴河,1893,569,1324,1,friend_archive_baidu_index
2016-10-24,北戴河,1958,738,1220,0,friend_archive_baidu_index
2016-10-25,北戴河,1822,661,1161,0,friend_archive_baidu_index
2016-10-26,北戴河,1759,648,1111,0,friend_archive_baidu_index
2016-10-27,北戴河,1788,625,1163,0,friend_archive_baidu_index
2016-10-28,北戴河,1637,603,1034,0,friend_archive_baidu_index
2016-10-29,北戴河,1417,412,1005,1,friend_archive_baidu_index
2016-10-30,北戴河,1354,395,959,1,friend_archive_baidu_index
2016-10-31,北戴河,1541,588,953,0,friend_archive_baidu_index
2016-11-01,北戴河,1509,555,954,0,friend_archive_baidu_index
2016-11-02,北戴河,1515,572,943,0,friend_archive_baidu_index
2016-11-03,北戴河,1487,549,938,0,friend_archive_baidu_index
2016-11-04,北戴河,1495,578,917,0,friend_archive_baidu_index
2016-11-05,北戴河,1424,481,943,1,friend_archive_baidu_index
2016-11-06,北戴河,1396,431,965,1,friend_archive_baidu_index
2016-11-07,北戴河,1572,633,939,0,friend_archive_baidu_index
2016-11-08,北戴河,1513,602,911,0,friend_archive_baidu_index
2016-11-09,北戴河,1465,563,902,0,friend_archive_baidu_index
2016-11-10,北戴河,1420,547,873,0,friend_archive_baidu_index
2016-11-11,北戴河,1355,490,865,0,friend_archive_baidu_index
2016-11-12,北戴河,1503,526,977,1,friend_archive_baidu_index
2016-11-13,北戴河,1359,440,919,1,friend_archive_baidu_index
2016-11-14,北戴河,1562,613,949,0,friend_archive_baidu_index
2016-11-15,北戴河,1511,580,931,0,friend_archive_baidu_index
2016-11-16,北戴河,1499,574,925,0,friend_archive_baidu_index
2016-11-17,北戴河,1524,617,907,0,friend_archive_baidu_index
2016-11-18,北戴河,1491,588,903,0,friend_archive_baidu_index
2016-11-19,北戴河,1370,431,939,1,friend_archive_baidu_index
2016-11-20,北戴河,1419,499,920,1,friend_archive_baidu_index
2016-11-21,北戴河,1600,667,933,0,friend_archive_baidu_index
2016-11-22,北戴河,1531,609,922,0,friend_archive_baidu_index
2016-11-23,北戴河,1530,580,950,0,friend_archive_baidu_index
2016-11-24,北戴河,1498,589,909,0,friend_archive_baidu_index
2016-11-25,北戴河,1424,515,909,0,friend_archive_baidu_index
2016-11-26,北戴河,1334,402,932,1,friend_archive_baidu_index
2016-11-27,北戴河,1314,392,922,1,friend_archive_baidu_index
2016-11-28,北戴河,1482,564,918,0,friend_archive_baidu_index
2016-11-29,北戴河,1542,595,947,0,friend_archive_baidu_index
2016-11-30,北戴河,1503,561,942,0,friend_archive_baidu_index
2016-12-01,北戴河,1507,547,960,0,friend_archive_baidu_index
2016-12-02,北戴河,1576,603,973,0,friend_archive_baidu_index
2016-12-03,北戴河,1436,467,969,1,friend_archive_baidu_index
2016-12-04,北戴河,1479,488,991,1,friend_archive_baidu_index
2016-12-05,北戴河,1509,583,926,0,friend_archive_baidu_index
2016-12-06,北戴河,1556,597,959,0,friend_archive_baidu_index
2016-12-07,北戴河,1534,586,948,0,friend_archive_baidu_index
2016-12-08,北戴河,1499,541,958,0,friend_archive_baidu_index
2016-12-09,北戴河,1520,561,959,0,friend_archive_baidu_index
2016-12-10,北戴河,1408,431,977,1,friend_archive_baidu_index
2016-12-11,北戴河,1344,372,972,1,friend_archive_baidu_index
2016-12-12,北戴河,1507,549,958,0,friend_archive_baidu_index
2016-12-13,北戴河,1553,616,937,0,friend_archive_baidu_index
2016-12-14,北戴河,1569,595,974,0,friend_archive_baidu_index
2016-12-15,北戴河,1509,523,986,0,friend_archive_baidu_index
2016-12-16,北戴河,1560,616,944,0,friend_archive_baidu_index
2016-12-17,北戴河,1344,405,939,1,friend_archive_baidu_index
2016-12-18,北戴河,1350,423,927,1,friend_archive_baidu_index
2016-12-19,北戴河,1555,592,963,0,friend_archive_baidu_index
2016-12-20,北戴河,1576,637,939,0,friend_archive_baidu_index
2016-12-21,北戴河,1471,533,938,0,friend_archive_baidu_index
2016-12-22,北戴河,1488,563,925,0,friend_archive_baidu_index
2016-12-23,北戴河,1400,482,918,0,friend_archive_baidu_index
2016-12-24,北戴河,1327,395,932,1,friend_archive_baidu_index
2016-12-25,北戴河,1336,361,975,1,friend_archive_baidu_index
2016-12-26,北戴河,1553,589,964,0,friend_archive_baidu_index
2016-12-27,北戴河,1598,633,965,0,friend_archive_baidu_index
2016-12-28,北戴河,1531,589,942,0,friend_archive_baidu_index
2016-12-29,北戴河,1642,698,944,0,friend_archive_baidu_index
2016-12-30,北戴河,1537,551,986,0,friend_archive_baidu_index
2016-12-31,北戴河,1395,371,1024,1,friend_archive_baidu_index
2017-01-01,北戴河,1361,352,1009,1,friend_archive_baidu_index
2017-01-02,北戴河,1379,385,994,0,friend_archive_baidu_index
2017-01-03,北戴河,1507,518,989,0,friend_archive_baidu_index
2017-01-04,北戴河,1667,701,966,0,friend_archive_baidu_index
2017-01-05,北戴河,1670,679,991,0,friend_archive_baidu_index
2017-01-06,北戴河,1541,557,984,0,friend_archive_baidu_index
2017-01-07,北戴河,1509,465,1044,1,friend_archive_baidu_index
2017-01-08,北戴河,1458,464,994,1,friend_archive_baidu_index
2017-01-09,北戴河,1556,588,968,0,friend_archive_baidu_index
2017-01-10,北戴河,1584,628,956,0,friend_archive_baidu_index
2017-01-11,北戴河,1508,571,937,0,friend_archive_baidu_index
2017-01-12,北戴河,1482,529,953,0,friend_archive_baidu_index
2017-01-13,北戴河,1483,552,931,0,friend_archive_baidu_index
2017-01-14,北戴河,1357,411,946,1,friend_archive_baidu_index
2017-01-15,北戴河,1370,411,959,1,friend_archive_baidu_index
2017-01-16,北戴河,2265,637,1628,0,friend_archive_baidu_index
2017-01-17,北戴河,2434,771,1663,0,friend_archive_baidu_index
2017-01-18,北戴河,1689,546,1143,0,friend_archive_baidu_index
2017-01-19,北戴河,1577,541,1036,0,friend_archive_baidu_index
2017-01-20,北戴河,1499,479,1020,0,friend_archive_baidu_index
2017-01-21,北戴河,1433,434,999,1,friend_archive_baidu_index
2017-01-22,北戴河,1498,515,983,1,friend_archive_baidu_index
2017-01-23,北戴河,1495,464,1031,0,friend_archive_baidu_index
2017-01-24,北戴河,1467,487,980,0,friend_archive_baidu_index
2017-01-25,北戴河,1394,408,986,0,friend_archive_baidu_index
2017-01-26,北戴河,1409,430,979,0,friend_archive_baidu_index
2017-01-27,北戴河,1224,302,922,0,friend_archive_baidu_index
2017-01-28,北戴河,1559,350,1209,1,friend_archive_baidu_index
2017-01-29,北戴河,1648,363,1285,1,friend_archive_baidu_index
2017-01-30,北戴河,1737,385,1352,0,friend_archive_baidu_index
2017-01-31,北戴河,1742,363,1379,0,friend_archive_baidu_index
2017-02-01,北戴河,1835,417,1418,0,friend_archive_baidu_index
2017-02-02,北戴河,1781,416,1365,0,friend_archive_baidu_index
2017-02-03,北戴河,1836,568,1268,0,friend_archive_baidu_index
2017-02-04,北戴河,1750,544,1206,1,friend_archive_baidu_index
2017-02-05,北戴河,1739,512,1227,1,friend_archive_baidu_index
2017-02-06,北戴河,1855,664,1191,0,friend_archive_baidu_index
2017-02-07,北戴河,1915,684,1231,0,friend_archive_baidu_index
2017-02-08,北戴河,1785,670,1115,0,friend_archive_baidu_index
2017-02-09,北戴河,1959,785,1174,0,friend_archive_baidu_index
2017-02-10,北戴河,1904,760,1144,0,friend_archive_baidu_index
2017-02-11,北戴河,1523,411,1112,1,friend_archive_baidu_index
2017-02-12,北戴河,1561,437,1124,1,friend_archive_baidu_index
2017-02-13,北戴河,1681,639,1042,0,friend_archive_baidu_index
2017-02-14,北戴河,1737,662,1075,0,friend_archive_baidu_index
