path,size_bytes,suffix
data\raw\qinhuangdao_city_tourism_annual_revised.csv,1945,.csv
data\raw\qinhuangdao_daily_weather_2023_2025.csv,383067,.csv
data\raw\qinhuangdao_event_anchors_2023_2025.csv,1628,.csv
data\raw\qinhuangdao_hotel_occupancy_capacity_anchors_2023_2025.csv,3229,.csv
data\raw\qinhuangdao_hourly_entry_time_evidence_2023_2025.csv,2647,.csv
data\raw\qinhuangdao_hourly_entry_time_evidence_README.md,815,.md
data\raw\qinhuangdao_parking_shuttle_operational_anchors_2023_2025.csv,2614,.csv
data\raw\qinhuangdao_public_visitor_flow_anchors_2023_2025.csv,12349,.csv
data\raw\qinhuangdao_summer_regional_flow_anchors_2023_2025.csv,3458,.csv
data\raw\qinhuangdao_transport_environment_annual_2016_2025_revised.csv,2387,.csv
data\raw\qinhuangdao_transport_environment_annual_2023_2025.csv,1108,.csv
data\raw\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\全国景点周边路网拥堵指数与客流指数（2021-2025）(1).xlsx,12206379,.xlsx
data\raw\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\全国景点周边路网拥堵指数与客流指数（2021-2025）.xlsx,12206379,.xlsx
data\raw\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\数据说明——全国景点周边路网拥堵指数与客流指数（2021-2025）(1).docx,119352,.docx
data\raw\raw\1799 全国景点周边路网拥堵指数与客流指数（2021-2025）\数据说明——全国景点周边路网拥堵指数与客流指数（2021-2025）.docx,119352,.docx
data\raw\raw\2024年全国停车场poi数据\2024年全国停车场poi数据_part1.xlsx,66683299,.xlsx
data\raw\raw\2024年全国停车场poi数据\2024年全国停车场poi数据_part2.xlsx,12292080,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市入境旅游人次1999-2024年（2025.12.29更新，20年后不统计更新）(1).xlsx,64950,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市入境旅游人次1999-2024年（2025.12.29更新，20年后不统计更新）.xlsx,64950,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市入境旅游外汇1999-2024年（2025.12.29更新，20年后不统计更新）(1).xlsx,68052,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市入境旅游外汇1999-2024年（2025.12.29更新，20年后不统计更新）.xlsx,68052,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市国内旅游人次2002-2024年（2025.12.29更新）(1).xlsx,69666,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市国内旅游人次2002-2024年（2025.12.29更新）.xlsx,69666,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市国内旅游收入2002-2024年（2025.12.29更新）(1).xlsx,62977,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市国内旅游收入2002-2024年（2025.12.29更新）.xlsx,62977,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市星级饭店1999-2024年（2025.12.29更新，20年后更新较少）(1).xlsx,49723,.xlsx
data\raw\raw\地级市旅游数据（最新）\297个地级市星级饭店1999-2024年（2025.12.29更新，20年后更新较少）.xlsx,49723,.xlsx
data\raw\raw\秦皇岛市POI.csv,8963682,.csv
data\raw\shanhaiguan_tourism_anchors.csv,1735,.csv
data\raw\supplementary_data_collection_register.csv,1961,.csv
data\raw\tourism_resource_capacity_anchors.csv,1900,.csv
data\raw\地级市POI兴趣点\2012POI\2012.rar,502397009,.rar
data\raw\地级市POI兴趣点\2012POI\MANIFEST.TXT,260,.txt
data\raw\地级市POI兴趣点\2013POI\2013.zip,807665068,.zip
data\raw\地级市POI兴趣点\2013POI\6月30日数据汇总.pdf,568233,.pdf
data\raw\地级市POI兴趣点\2013POI\MANIFEST.TXT,148,.txt
data\raw\地级市POI兴趣点\2014POI\2014.rar,606652463,.rar
data\raw\地级市POI兴趣点\2020POI\保亭黎族苗族自治县.zip,179639,.zip
data\raw\地级市POI兴趣点\2020POI\保山市.zip,2963355,.zip
data\raw\地级市POI兴趣点\2020POI\包头市.zip,6845627,.zip
data\raw\地级市POI兴趣点\2020POI\北屯市.zip,180592,.zip
data\raw\地级市POI兴趣点\2020POI\北海市.zip,4151336,.zip
data\raw\地级市POI兴趣点\2020POI\安康市.zip,3879518,.zip
data\raw\地级市POI兴趣点\2020POI\安阳市.zip,7486304,.zip
data\raw\地级市POI兴趣点\2020POI\安顺市.zip,2749868,.zip
data\raw\地级市POI兴趣点\2020POI\宝鸡市.zip,5463163,.zip
data\raw\地级市POI兴趣点\2020POI\巴中市.zip,3568212,.zip
data\raw\地级市POI兴趣点\2020POI\巴彦淖尔市.zip,3995312,.zip
data\raw\地级市POI兴趣点\2020POI\巴音郭楞蒙古自治州.zip,2841430,.zip
data\raw\地级市POI兴趣点\2020POI\澳门特别行政区.zip,1004920,.zip
data\raw\地级市POI兴趣点\2020POI\白城市.zip,3465520,.zip
data\raw\地级市POI兴趣点\2020POI\白山市.zip,2466605,.zip
data\raw\地级市POI兴趣点\2020POI\白沙黎族自治县.zip,133348,.zip
data\raw\地级市POI兴趣点\2020POI\白银市.zip,2588963,.zip
data\raw\地级市POI兴趣点\2020POI\百色市.zip,5030891,.zip
data\raw\地级市POI兴趣点\2020POI\秦皇岛市.zip,5194575,.zip
data\raw\地级市POI兴趣点\2020POI\蚌埠市.zip,4962988,.zip
data\raw\地级市POI兴趣点\2020POI\阿克苏地区.zip,2109771,.zip
data\raw\地级市POI兴趣点\2020POI\阿勒泰地区.zip,836134,.zip
data\raw\地级市POI兴趣点\2020POI\阿坝藏族羌族自治州.zip,1956751,.zip
data\raw\地级市POI兴趣点\2020POI\阿拉善盟.zip,1518512,.zip
data\raw\地级市POI兴趣点\2020POI\阿里地区.zip,756853,.zip
data\raw\地级市POI兴趣点\2020POI\鞍山市.zip,5766940,.zip
data\raw\地级市旅游数据（最新）\297个地级市入境旅游人次1999-2024年（2025.12.29更新，20年后不统计更新）(1).xlsx,64950,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市入境旅游人次1999-2024年（2025.12.29更新，20年后不统计更新）.xlsx,64950,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市入境旅游外汇1999-2024年（2025.12.29更新，20年后不统计更新）(1).xlsx,68052,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市入境旅游外汇1999-2024年（2025.12.29更新，20年后不统计更新）.xlsx,68052,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市国内旅游人次2002-2024年（2025.12.29更新）(1).xlsx,69666,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市国内旅游人次2002-2024年（2025.12.29更新）.xlsx,69666,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市国内旅游收入2002-2024年（2025.12.29更新）(1).xlsx,62977,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市国内旅游收入2002-2024年（2025.12.29更新）.xlsx,62977,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市星级饭店1999-2024年（2025.12.29更新，20年后更新较少）(1).xlsx,49723,.xlsx
data\raw\地级市旅游数据（最新）\297个地级市星级饭店1999-2024年（2025.12.29更新，20年后更新较少）.xlsx,49723,.xlsx
data\raw\秦皇岛市POI.csv,8963682,.csv
