date,region_code,baseline_visitors,scenario_visitors,baseline_service_gap,baseline_shuttle_vehicles,reoptimized_shuttle_vehicles,baseline_staff_shifts,reoptimized_staff_shifts,reoptimized_temporary_spaces,reoptimized_relative_cost,reoptimized_experience_loss,scenario_status,scenario_name
2026-04-06,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-07,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-08,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-09,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-10,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-11,SHG,22258.790046493883,22258.790046493883,0.0,4,4.0,50,50.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-12,SHG,23032.23190391208,23032.23190391208,0.0,4,4.0,52,52.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-13,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-14,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-15,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-16,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-17,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-18,SHG,32666.913974359588,32666.913974359588,0.025204265337210912,6,6.0,73,73.0,0.0,2.2,0.06805151641046946,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-19,SHG,33522.017807764256,33522.017807764256,0.033063427800269905,6,6.0,74,74.0,0.0,2.2,0.08927125506072875,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-20,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-21,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-22,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-23,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-24,SHG,8100.010113384226,8100.010113384226,0.0,2,2.0,19,19.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-25,SHG,36421.502365486594,36421.502365486594,0.056901478444527274,6,6.0,80,80.0,0.0,2.2,0.15363399180022363,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-26,SHG,41476.33419917445,41476.33419917445,0.0906413612565445,7,7.0,91,91.0,0.0,2.2,0.24473167539267016,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-27,SHG,12558.820251769144,12558.820251769144,0.0,2,2.0,28,28.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-28,SHG,15593.699936672809,15593.699936672809,0.0,3,3.0,35,35.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-29,SHG,37757.0489489146,37757.0489489146,0.066738557392763,6,6.0,83,83.0,0.0,2.2,0.18019410496046012,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-04-30,SHG,45664.62105455378,45664.62105455378,0.11286167261196987,8,8.0,101,101.0,0.0,2.2,0.30472651605231865,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-01,SHG,50967.57226861567,50967.57226861567,0.13581890812250333,8,8.0,112,112.0,0.0,2.2,0.366711051930759,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-02,SHG,82826.86818044617,82826.86818044617,0.21178848464984157,13,13.0,180,180.0,0.0,2.2,0.5718289085545722,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-03,SHG,78433.21116680147,78433.21116680147,0.2049728856582439,13,13.0,172,172.0,0.0,2.2,0.5534267912772586,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-04,SHG,32104.00934139808,32104.00934139808,0.019732205778717406,6,6.0,71,71.0,0.0,2.2,0.05327695560253699,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-05,SHG,9971.221346142833,9971.221346142833,0.0,2,2.0,23,23.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-06,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-07,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-08,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-09,SHG,26941.08844669268,26941.08844669268,0.0,5,5.0,60,60.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-10,SHG,28339.698332922624,28339.698332922624,0.0,5,5.0,63,63.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-11,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-12,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-13,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-14,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-15,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-16,SHG,31311.11260039507,31311.11260039507,0.011847998844097674,5,5.0,69,69.0,0.0,2.2,0.03198959687906372,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-17,SHG,34067.76148115308,34067.76148115308,0.037848605577689244,6,6.0,75,75.0,0.0,2.2,0.10219123505976095,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-18,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-19,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-20,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-21,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-22,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-23,SHG,29855.708933132704,29855.708933132704,0.0,5,5.0,66,66.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-24,SHG,34756.37404823172,34756.37404823172,0.04373291682936353,6,6.0,77,77.0,0.0,2.2,0.11807887543928154,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-25,SHG,9526.089072470131,9526.089072470131,0.0,2,2.0,22,22.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-26,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-27,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-28,SHG,7286.376281773982,7286.376281773982,0.0,2,2.0,18,18.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-29,SHG,8093.65998874552,8093.65998874552,0.0,2,2.0,19,19.0,0.0,2.2,0.0,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-30,SHG,40372.91983583118,40372.91983583118,0.08394978704326383,7,7.0,89,89.0,0.0,2.2,0.22666442501681236,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
2026-05-31,SHG,42510.42461163279,42510.42461163279,0.09653043848446147,7,7.0,94,94.0,0.0,2.2,0.260632183908046,counterfactual_planning_simulation,shanhaiguan_five_day_continuous_rain
