period_start,period_end,region_name,facility_or_scope,visitor_count_10k_persons,metric_scope,frequency,geographic_comparability,data_status,source_url,source_note
2025-01-28,2025-02-04,Qinhuangdao_City,all_scenic_areas,95.37,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://qhd.hebccw.cn/system/2025/02/07/102029217.shtml,"Spring Festival eight-day holiday; scenic-area visitors, not the full citywide visitor definition."
2025-04-04,2025-04-06,Qinhuangdao_City,all_scenic_areas,59.14,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://www.jiemian.com/article/12585647.html,Qingming three-day holiday; scenic-area visitors and 976.35 ten-thousand CNY ticket income.
2025-05-01,2025-05-05,Qinhuangdao_City,all_scenic_areas,188.26,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://whly.hebei.gov.cn/c/2025-05-14/580826.html,"Labour Day five-day holiday; monitored scenic-area visitors, not full all-tourist citywide flow."
2025-07-01,2025-08-31,Shanhaiguan_District,Shanhaiguan_Scenic_Area,464.04,scenic_area_visitors,summer_total,not_directly_comparable_with_district_all_visitors,verified,https://qhd.wenming.cn/sy/jq_sy/202509/t20250911_9023197.html,July–August 2025 summer peak; scenic-area visitors and 17515.53 ten-thousand CNY ticket income.
2025-07-01,2025-08-31,Beidaihe_New_District,all_visitors,5.0,average_daily_tourist_visitors,summer_average_daily,not_comparable_with_Beidaihe_District_core,partial,https://he.people.com.cn/n2/2025/0729/c192235-41306590.html,"Source reports average daily visitors near 50,000 during the summer peak; stored as an approximate daily-average anchor, not a seasonal total."
2023-04-29,2023-05-03,Qinhuangdao_City,all_visitors,437.17,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,Five-day Labour Day holiday; this is all visitors rather than scenic-gate entries.
2023-04-29,2023-05-03,Beidaihe_District,scenic_areas,46.89,district_scenic_area_visitors,holiday_total,comparable_with_Beidaihe_District_scenic_rows,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,Five-day Labour Day holiday; district scenic-area aggregate.
2023-04-29,2023-05-03,Shanhaiguan_District,scenic_areas,44.94,district_scenic_area_visitors,holiday_total,comparable_with_Shanhaiguan_District_scenic_rows,verified,https://qhd.hebccw.cn/system/2023/05/06/101145263.shtml,Five-day Labour Day holiday; district scenic-area aggregate.
2024-05-01,2024-05-05,Shanhaiguan_District,all_scenic_areas,47.52,district_scenic_area_visitors,holiday_total,comparable_with_Shanhaiguan_District_scenic_rows,verified,https://changcheng.ctnews.com.cn/2024-05/13/content_160003.html,Five-day Labour Day holiday.
2024-07-01,2024-07-20,Qinhuangdao_City,all_visitors,820.1,citywide_tourist_visitors,period_total,citywide_not_board_level,verified,https://news.cctv.com/2024/07/23/ARTIryZBjRdk43NGtdAHDnwG240723.shtml,First 20 days of the summer peak; all visitors citywide.
2024-07-09,2024-07-09,Beidaihe_District,all_visitors,7.0,district_tourist_visitors,daily_snapshot_lower_bound,not_directly_comparable_with_scenic_gate_entries,verified,https://www.thepaper.cn/newsDetail_forward_28009059,"News report says the district was receiving more than 70,000 visitors per day during the summer peak. Stored as a lower-bound snapshot (>=7.00 in 10k persons), not an exact daily observation."
2024-04-29,2024-05-06,Qinhuangdao_Railway_Nodes,Beidaihe_Railway_Station,6.96,railway_passengers_sent,period_total,transport_proxy_not_tourist_flow,verified,https://finance.sina.cn/2024-05-08/detail-inaunhxm8538014.d.html,"Eight-day railway transport period. This is a departure count from Beidaihe Station, not tourist arrivals; retain only as an accessibility proxy."
2025-05-01,2025-05-05,Beidaihe_New_District,all_visitors,31.99,new_district_tourist_visitors,holiday_total,not_comparable_with_Beidaihe_District_core,verified,https://he.people.com.cn/n2/2025/0507/c192235-41219910.html,Five-day Labour Day holiday. New District scope includes coastal resorts such as Aranya vicinity but is not the Beidaihe District board.
2025-05-01,2025-05-05,Shanhaiguan_District,scenic_area,51.14,district_scenic_area_visitors,holiday_total,comparable_with_Shanhaiguan_District_scenic_rows,verified,https://lywgj.qhd.gov.cn/home/details?code=OTg%CE%B3&id=10940&pcode=NzU%CE%B3,Five-day Labour Day holiday; the source uses Shanhaiguan scenic area wording.
2025-10-01,2025-10-08,Qinhuangdao_City,all_scenic_areas,229.35,citywide_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://hebei.ifeng.com/c/8nT28x5qQca,"Eight-day National Day and Mid-Autumn Festival holiday; scenic-area aggregate, not all citywide tourists."
2025-10-01,2025-10-08,Shanhaiguan_District,paid_scenic_sites_Laolongtou_and_First_Pass,44.36,paid_scenic_gate_entries,holiday_total,subset_of_Shanhaiguan_District,verified,https://i.ifeng.com/c/8nM9uMXRbf4,Eight-day holiday; source identifies Shanhaiguan scenic area including Laolongtou and First Pass as a charged-scenic-site statistic.
2025-10-01,2025-10-08,Beidaihe_District,Pigeon_Nest_Park,9.58,paid_scenic_gate_entries,holiday_total,single_site_not_Beidaihe_District_total,verified,https://i.ifeng.com/c/8nM9uMXRbf4,"Eight-day holiday; a single-site gate count, retained as a within-board intensity anchor only."
2023-01-21,2023-01-27,Qinhuangdao_City,open_scenic_areas,25.76,citywide_open_scenic_area_visitors,holiday_total,citywide_not_board_level,verified,https://www.thepaper.cn/newsDetail_forward_21701095,Seven-day Spring Festival holiday; 27 open scenic areas.
2023-01-21,2023-01-27,Beidaihe_District,Pigeon_Nest_Wildlife_Park_and_Jifa_Agriculture_Dream_Kingdom,8.07,three_open_scenic_sites_visitors,holiday_total,subset_of_Beidaihe_District,verified,https://www.thepaper.cn/newsDetail_forward_21730576,"Seven-day Spring Festival holiday; three open sites only, not district total."
2023-01-01,2023-07-31,Beidaihe_District,all_visitors,900.0,district_tourist_visitors,year_to_date_lower_bound,not_directly_comparable_with_scenic_gate_entries,verified,https://he.people.com.cn/n2/2023/0803/c192235-40518936.html,"Source reports more than 9 million visitors from January through July. Stored as a >=900.00 lower bound, not an exact cumulative value."
2023-06-15,2023-06-25,Aranya,Aranya_Theatre_Festival,30.0,event_period_visitors,period_total,event_scope_not_annual_total,reported_by_media,https://m.thepaper.cn/newsDetail_forward_23848639,"Media reports an official estimate of nearly 40,000 audience members and 300,000 visitors during the festival; use as an event-specific intensity anchor."
2023-07-01,2023-07-31,Shanhaiguan_District,all_visitors,205.08,district_tourist_visitors,monthly_total,not_directly_comparable_with_scenic_gate_entries,verified,https://df.youth.cn/dfzl/202308/t20230815_14719756.htm,July total for Shanhaiguan District; source attributes the statistic to the district.
2024-02-02,2024-02-15,Shanhaiguan_District,Shanhaiguan_Ancient_City,15.1,paid_scenic_gate_entries,period_total,single_site_not_Shanhaiguan_District_total,verified,https://df.youth.cn/dfzl/202402/t20240222_15090364.htm,Fourteen-day Spring Festival event window; Ancient City only.
2024-02-10,2024-02-17,Qinhuangdao_City,all_visitors,226.7,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://df.youth.cn/dfzl/202402/t20240222_15090364.htm,Eight-day Spring Festival holiday.
2024-10-01,2024-10-07,Qinhuangdao_City,all_visitors,436.95,citywide_tourist_visitors,holiday_total,citywide_not_board_level,verified,https://www.rmlt.com.cn/2024/1008/713817.shtml,Seven-day National Day holiday.
2024-10-01,2024-10-07,Shanhaiguan_District,Shanhaiguan_Scenic_Area,39.97,paid_scenic_gate_entries,holiday_total,subset_of_Shanhaiguan_District,verified,https://www.rmlt.com.cn/2024/1008/713817.shtml,Seven-day National Day holiday; scenic-area gate entries.
2024-10-01,2024-10-07,Beidaihe_District,Pigeon_Nest_Park,9.38,paid_scenic_gate_entries,holiday_total,single_site_not_Beidaihe_District_total,verified,https://www.rmlt.com.cn/2024/1008/713817.shtml,Seven-day National Day holiday; single-site gate count.
2024-10-01,2024-10-07,Beidaihe_New_District,Yutian_Qilihai_Resort,7.06,paid_scenic_gate_entries,holiday_total,not_comparable_with_Beidaihe_District_core,verified,https://www.rmlt.com.cn/2024/1008/713817.shtml,"Seven-day National Day holiday; New District site, not Beidaihe District core."
2024-01-01,2024-10-20,Shanhaiguan_District,Shanhaiguan_Scenic_Area,712.04,scenic_area_visitors,year_to_date,not_directly_comparable_with_district_all_visitors,verified,https://he.people.com.cn/n2/2024/1027/c192235-41021741.html,Year-to-date scenic-area visitors reported as of 20 October; this is not an annual total.
2025-01-01,2025-05-31,Qinhuangdao_City,all_visitors,2211.98,citywide_tourist_visitors,year_to_date,citywide_not_board_level,partial,https://www.tcc.org.cn/newsinfo/8530501.html,January–May 2025 citywide cumulative visitors; tourist total spending was 240.20 hundred-million CNY in the same source. Not an annual substitute.
