date,relative_pressure,base_service_tier,staff_tier,entry_tier,parking_guidance_tier,shuttle_tier,recommended_action
2026-08-14,3.4985249938954968,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-15,4.755519995001355,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-16,4.556080300348964,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-17,2.808880873395068,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-18,2.4453805143673195,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-19,1.954779635430394,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-20,2.079731732403353,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-21,2.130346062183434,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-22,3.0987568495698414,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-23,3.0035735230570064,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-24,1.722210694971292,surge,0.0,2.0,2.0,0.0,intensify_parking_guidance__open_surge_window_security_teams__prepare_outer_transfer
2026-08-29,1.8013993856087485,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
2026-08-30,1.926563068473047,emergency,1.0,2.0,2.0,1.0,activate_outer_transfer__issue_parking_saturation_alert__emergency_coordination_and_staggered_entry
